TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
11,Pre,42,Kate chose the turtle with the pen,chose,turtle,pen,Sentence,1,ModControl,kateturtlepen_nopauses.mp3,kateturtlepenmodright.png,kateturtlepeninstleft.png,kateturtlepenmodright.png,kateturtlepeninstleft.png,1,mod,inst,R,L,345,2285,0.130742428,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtlepenmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtlepeninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kateturtlepen_nopauses.mp3?raw=true
12,Pre,43,Tom chose the pig with the baseball bat,chose,pig,baseball bat,Sentence,1,ModControl,tompigbaseballbat_nopauses.mp3,tompigbaseballbatmodleft.png,tompigbaseballbatinstright.png,tompigbaseballbatinstright.png,tompigbaseballbatmodleft.png,2,inst,mod,L,R,460,2592,0.140481122,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigbaseballbatinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigbaseballbatmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tompigbaseballbat_nopauses.mp3?raw=true
13,Pre,29,Tom moved the frog with the tree branch,moved,frog,treebranch,Sentence,1,ModControl,tomfrogtreebranch_nopauses.mp3,tomfrogtreebranchmodright.png,tomfrogtreebranchinstleft.png,tomfrogtreebranchmodright.png,tomfrogtreebranchinstleft.png,1,mod,inst,R,L,519,2955,0.152834101,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfrogtreebranchmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfrogtreebranchinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomfrogtreebranch_nopauses.mp3?raw=true
14,Pre,8,Kate located the girl with the glasses,located,girl,glasses,Sentence,1,ModControl,kategirlglasses_nopauses.mp3,kategirlglassesmodleft.png,kategirlglassesinstright.png,kategirlglassesinstright.png,kategirlglassesmodleft.png,2,inst,mod,L,R,394,2812,0.169446873,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategirlglassesinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategirlglassesmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kategirlglasses_nopauses.mp3?raw=true
15,Pre,39,Tom chose the fox with the pen,chose,fox,pen,Sentence,1,ModControl,tomfoxpen_nopauses.mp3,tomfoxpenmodleft.png,tomfoxpeninstright.png,tomfoxpeninstright.png,tomfoxpenmodleft.png,2,inst,mod,L,R,469,2132,0.177933744,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxpeninstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxpenmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomfoxpen_nopauses.mp3?raw=true
16,Pre,7,Tom located the pig with the glasses,located,pig,glasses,Sentence,1,ModControl,tompigglasses_nopauses.mp3,tompigglassesmodright.png,tompigglassesinstleft.png,tompigglassesmodright.png,tompigglassesinstleft.png,1,mod,inst,R,L,456,2945,0.223440883,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigglassesmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigglassesinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tompigglasses_nopauses.mp3?raw=true
17,Pre,16,Kate felt the lion with the brush,felt,lion,brush,Sentence,1,ModControl,katelionbrush_nopauses.mp3,katelionbrushmodright.png,katelionbrushinstleft.png,katelionbrushmodright.png,katelionbrushinstleft.png,1,mod,inst,R,L,379,2236,0.238197582,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katelionbrushmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katelionbrushinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katelionbrush_nopauses.mp3?raw=true
18,Pre,10,Kate located the gorilla with the glasses,located,gorilla,glasses,Sentence,1,ModControl,kategorillaglasses_nopauses.mp3,kategorillaglassesmodleft.png,kategorillaglassesinstright.png,kategorillaglassesinstright.png,kategorillaglassesmodleft.png,2,inst,mod,L,R,409,3061,0.244053203,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategorillaglassesinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategorillaglassesmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kategorillaglasses_nopauses.mp3?raw=true
19,Pre,27,Tom moved the fox with the tree branch,moved,fox,treebranch,Sentence,1,ModControl,tomfoxtreebranch_nopauses.mp3,tomfoxtreebranchmodright.png,tomfoxtreebranchinstleft.png,tomfoxtreebranchmodright.png,tomfoxtreebranchinstleft.png,1,mod,inst,R,L,475,2789,0.280167234,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxtreebranchmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxtreebranchinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomfoxtreebranch_nopauses.mp3?raw=true
20,Pre,24,Kate felt the hawk with the cloth,felt,hawk,cloth,Sentence,1,ModControl,katehawkcloth_nopauses.mp3,katehawkclothmodright.png,katehawkclothinstleft.png,katehawkclothmodright.png,katehawkclothinstleft.png,1,mod,inst,R,L,345,2220,0.284261166,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkclothmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkclothinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katehawkcloth_nopauses.mp3?raw=true
21,Pre,35,Tom moved the buffalo with the pitchfork,moved,buffalo,pitchfork,Sentence,1,ModControl,tombuffalopitchfork_nopauses.mp3,tombuffalopitchforkmodright.png,tombuffalopitchforkinstleft.png,tombuffalopitchforkmodright.png,tombuffalopitchforkinstleft.png,1,mod,inst,R,L,466,2858,0.300081464,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tombuffalopitchforkmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tombuffalopitchforkinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tombuffalopitchfork_nopauses.mp3?raw=true
22,Pre,3,Tom located the fox with the magnifying glass,located,fox,magnifyingglass,Sentence,1,ModControl,tomfoxmagnifyingglass_nopauses.mp3,tomfoxmagnifyingglassmodright.png,tomfoxmagnifyingglassinstleft.png,tomfoxmagnifyingglassmodright.png,tomfoxmagnifyingglassinstleft.png,1,mod,inst,R,L,548,3692,0.308875733,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxmagnifyingglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfoxmagnifyingglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomfoxmagnifyingglass_nopauses.mp3?raw=true
23,Pre,6,Kate located the turtle with the magnifying glass,located,turtle,magnifyingglass,Sentence,1,ModControl,kateturtlemagnifyingglass_nopauses.mp3,kateturtlemagnifyingglassmodleft.png,kateturtlemagnifyingglassinstright.png,kateturtlemagnifyingglassinstright.png,kateturtlemagnifyingglassmodleft.png,2,inst,mod,L,R,384,3425,0.31051789,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtlemagnifyingglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtlemagnifyingglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kateturtlemagnifyingglass_nopauses.mp3?raw=true
24,Pre,60,Kate glanced at the hawk with the mirror,glanced,hawk,mirror,Sentence,1,ModControl,katehawkmirror_nopauses.mp3,katehawkmirrormodleft.png,katehawkmirrorinstright.png,katehawkmirrorinstright.png,katehawkmirrormodleft.png,2,inst,mod,L,R,412,2769,0.328660439,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkmirrorinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkmirrormodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katehawkmirror_nopauses.mp3?raw=true
25,Pre,44,Kate chose the girl with the baseball bat,chose,girl,baseball bat,Sentence,1,ModControl,kategirlbaseballbat_nopauses.mp3,kategirlbaseballbatmodright.png,kategirlbaseballbatinstleft.png,kategirlbaseballbatmodright.png,kategirlbaseballbatinstleft.png,1,mod,inst,R,L,364,2599,0.332623886,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategirlbaseballbatmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategirlbaseballbatinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kategirlbaseballbat_nopauses.mp3?raw=true
26,Pre,48,Kate chose the hawk with the baseball bat,chose,hawk,baseball bat,Sentence,1,ModControl,katehawkbaseballbat_nopauses.mp3,katehawkbaseballbatmodright.png,katehawkbaseballbatinstleft.png,katehawkbaseballbatmodright.png,katehawkbaseballbatinstleft.png,1,mod,inst,R,L,344,2422,0.336716299,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkbaseballbatmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katehawkbaseballbatinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katehawkbaseballbat_nopauses.mp3?raw=true
27,Pre,49,Tom glanced at the dolphin with the glass,glanced,dolphin,glass,Sentence,1,ModControl,tomdolphinglass_nopauses.mp3,tomdolphinglassmodright.png,tomdolphinglassinstleft.png,tomdolphinglassmodright.png,tomdolphinglassinstleft.png,1,mod,inst,R,L,560,3043,0.347702182,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomdolphinglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomdolphinglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomdolphinglass_nopauses.mp3?raw=true
28,Pre,5,Tom located the frog with the magnifying glass,located,frog,magnifyingglass,Sentence,1,ModControl,tomfrogmagnifyingglass_nopauses.mp3,tomfrogmagnifyingglassmodright.png,tomfrogmagnifyingglassinstleft.png,tomfrogmagnifyingglassmodright.png,tomfrogmagnifyingglassinstleft.png,1,mod,inst,R,L,402,3592,0.354621326,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfrogmagnifyingglassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tomfrogmagnifyingglassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tomfrogmagnifyingglass_nopauses.mp3?raw=true
29,Pre,47,Tom chose the buffalo with the baseball bat,chose,buffalo,baseball bat,Sentence,1,ModControl,tombuffalobaseballbat_nopauses.mp3,tombuffalobaseballbatmodleft.png,tombuffalobaseballbatinstright.png,tombuffalobaseballbatinstright.png,tombuffalobaseballbatmodleft.png,2,inst,mod,L,R,521,2954,0.368677626,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tombuffalobaseballbatinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tombuffalobaseballbatmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tombuffalobaseballbat_nopauses.mp3?raw=true
30,Pre,71,Tom inspected the buffalo with the microscope,inspected,buffalo,microscope,Sentence,1,ModControl,tombuffalomicroscope_nopauses.mp3,tombuffalomicroscopemodleft.png,tombuffalomicroscopeinstright.png,tombuffalomicroscopeinstright.png,tombuffalomicroscopemodleft.png,2,inst,mod,L,R,477,3397,0.379530483,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tombuffalomicroscopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tombuffalomicroscopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tombuffalomicroscope_nopauses.mp3?raw=true
31,Pre,11,Tom located the buffalo with the glasses,located,buffalo,glasses,Sentence,1,ModControl,tombuffaloglasses_nopauses.mp3,tombuffaloglassesmodright.png,tombuffaloglassesinstleft.png,tombuffaloglassesmodright.png,tombuffaloglassesinstleft.png,1,mod,inst,R,L,459,3183,0.410677354,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tombuffaloglassesmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tombuffaloglassesinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tombuffaloglasses_nopauses.mp3?raw=true
32,Pre,20,Kate felt the girl with the cloth,felt,girl,cloth,Sentence,1,ModControl,kategirlcloth_nopauses.mp3,kategirlclothmodright.png,kategirlclothinstleft.png,kategirlclothmodright.png,kategirlclothinstleft.png,1,mod,inst,R,L,352,2151,0.448853355,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategirlclothmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategirlclothinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kategirlcloth_nopauses.mp3?raw=true
33,Pre,66,Kate inspected the turtle with the telescope,inspected,turtle,telescope,Sentence,1,ModControl,kateturtletelescope_nopauses.mp3,kateturtletelescopemodright.png,kateturtletelescopeinstleft.png,kateturtletelescopemodright.png,kateturtletelescopeinstleft.png,1,mod,inst,R,L,354,2963,0.500192982,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtletelescopemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kateturtletelescopeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kateturtletelescope_nopauses.mp3?raw=true
34,Pre,56,Kate glanced at the girl with the mirror,glanced,girl,mirror,Sentence,1,ModControl,kategirlmirror_nopauses.mp3,kategirlmirrormodleft.png,kategirlmirrorinstright.png,kategirlmirrorinstright.png,kategirlmirrormodleft.png,2,inst,mod,L,R,399,2421,0.523090468,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategirlmirrorinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/kategirlmirrormodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/kategirlmirror_nopauses.mp3?raw=true
35,Pre,38,Kate chose the cow with the pen,chose,cow,pen,Sentence,1,ModControl,katecowpen_nopauses.mp3,katecowpenmodright.png,katecowpeninstleft.png,katecowpenmodright.png,katecowpeninstleft.png,1,mod,inst,R,L,329,2292,0.532040122,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katecowpenmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katecowpeninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katecowpen_nopauses.mp3?raw=true
36,Pre,67,Tom inspected the pig with the microscope,inspected,pig,microscope,Sentence,1,ModControl,tompigmicroscope_nopauses.mp3,tompigmicroscopemodleft.png,tompigmicroscopeinstright.png,tompigmicroscopeinstright.png,tompigmicroscopemodleft.png,2,inst,mod,L,R,524,3065,0.544371925,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigmicroscopeinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/tompigmicroscopemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/tompigmicroscope_nopauses.mp3?raw=true
37,Pre,40,Kate chose the lion with the pen,chose,lion,pen,Sentence,1,ModControl,katelionpen_nopauses.mp3,katelionpenmodright.png,katelionpeninstleft.png,katelionpenmodright.png,katelionpeninstleft.png,1,mod,inst,R,L,376,2137,0.5472725,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katelionpenmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katelionpeninstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katelionpen_nopauses.mp3?raw=true
38,Pre,4,Kate located the lion with the magnifying glass,located,lion,magnifyingglass,Sentence,1,ModControl,katelionmagnifyingglass_nopauses.mp3,katelionmagnifyingglassmodleft.png,katelionmagnifyingglassinstright.png,katelionmagnifyingglassinstright.png,katelionmagnifyingglassmodleft.png,2,inst,mod,L,R,496,3611,0.554793744,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katelionmagnifyingglassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_pre/katelionmagnifyingglassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_pre/katelionmagnifyingglass_nopauses.mp3?raw=true
