group,TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,Rand,GitLink_image1,GitLink_image2,GitLink_AudioFile
A,13,Training,1,Tom located the dolphin with the grass,located,dolphin,grass,Sentence,1,Mod,1,tomdolphingrass_nopauses.mp3,tomdolphingrassmodright.png,tomdolphingrassinstleft.png,tomdolphingrassmodright.png,tomdolphingrassinstleft.png,1,mod,inst,R,L,588,3180,0.091766556,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomdolphingrassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomdolphingrassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomdolphingrass_nopauses.mp3?raw=true
A,14,Training,1,Which toy did Tom locate?,located,NA,NA,Question_Congruent,1,Mod,,whichtoytomlocate.mp3,dolphingrass.png,dolphinfeather.png,dolphingrass.png,dolphinfeather.png,1,congruent,incongruent,NA,NA,1,2171,0.091766556,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/dolphingrass.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/dolphinfeather.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whichtoytomlocate.mp3?raw=true
A,15,Training,23,Tom felt the buffalo with the pillow,felt,buffalo,pillow,Sentence,1,Mod,11,tombuffalopillow_nopauses.mp3,tombuffalopillowmodleft.png,tombuffalopillowinstright.png,tombuffalopillowinstright.png,tombuffalopillowmodleft.png,2,inst,mod,L,R,541,2299,0.091918562,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tombuffalopillowinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tombuffalopillowmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tombuffalopillow_nopauses.mp3?raw=true
A,16,Training,23,What did Tom use?,felt,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,pillow.png,leaf.png,leaf.png,pillow.png,2,incongruent,congruent,NA,NA,1,1544,0.091918562,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/leaf.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/pillow.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
A,17,Training,13,Tom felt the dolphin with the leaf,felt,dolphin,leaf,Sentence,1,Mod,1,tomdolphinleaf_nopauses.mp3,tomdolphinleafmodleft.png,tomdolphinleafinstright.png,tomdolphinleafinstright.png,tomdolphinleafmodleft.png,2,inst,mod,L,R,513,2187,0.150875516,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomdolphinleafinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomdolphinleafmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomdolphinleaf_nopauses.mp3?raw=true
A,18,Training,13,What did Tom use?,felt,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,leaf.png,pillow.png,leaf.png,pillow.png,1,congruent,incongruent,NA,NA,1,1544,0.150875516,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/leaf.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/pillow.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
A,19,Training,50,Kate glanced at the cow with the jewel,glanced at,cow,jewel,Sentence,1,Mod,2,katecowjewel_nopauses.mp3,katecowjewelmodleft.png,katecowjewelinstright.png,katecowjewelinstright.png,katecowjewelmodleft.png,2,inst,mod,L,R,408,2694,0.169541455,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katecowjewelinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katecowjewelmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/katecowjewel_nopauses.mp3?raw=true
A,20,Training,50,What did Kate use?,glanced at,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,jewel.png,crystal.png,jewel.png,crystal.png,1,congruent,incongruent,NA,NA,1,1405,0.169541455,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/jewel.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/crystal.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
A,21,Training,64,Kate inspected the lion with the stick,inspected,lion,stick,Sentence,1,Mod,4,katelionstick_nopauses.mp3,katelionstickmodright.png,katelionstickinstleft.png,katelionstickmodright.png,katelionstickinstleft.png,1,mod,inst,R,L,375,2737,0.172052053,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katelionstickmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katelionstickinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/katelionstick_nopauses.mp3?raw=true
A,22,Training,64,What did Kate use?,inspected,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,stick.png,chopsticks.png,chopsticks.png,stick.png,2,incongruent,congruent,NA,NA,1,1405,0.172052053,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/chopsticks.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/stick.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
A,23,Training,38,Kate chose the cow with the tape,chose,cow,tape,Sentence,1,Mod,2,katecowtape_nopauses.mp3,katecowtapemodright.png,katecowtapeinstleft.png,katecowtapemodright.png,katecowtapeinstleft.png,1,mod,inst,R,L,382,2173,0.176443003,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katecowtapemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katecowtapeinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/katecowtape_nopauses.mp3?raw=true
A,24,Training,38,What did Kate use?,chose,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,tape.png,stickynote.png,tape.png,stickynote.png,1,congruent,incongruent,NA,NA,1,1405,0.176443003,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tape.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/stickynote.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
A,25,Training,51,Tom glanced at the fox with the jewel,glanced at,fox,jewel,Sentence,1,Mod,3,tomfoxjewel_nopauses.mp3,tomfoxjewelmodright.png,tomfoxjewelinstleft.png,tomfoxjewelmodright.png,tomfoxjewelinstleft.png,1,mod,inst,R,L,559,2591,0.186224908,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomfoxjewelmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomfoxjewelinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomfoxjewel_nopauses.mp3?raw=true
A,26,Training,51,What did Tom use?,glanced at,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,jewel.png,crystal.png,crystal.png,jewel.png,2,incongruent,congruent,NA,NA,1,1544,0.186224908,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/crystal.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/jewel.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
A,27,Training,3,Tom located the fox with the grass,located,fox,grass,Sentence,1,Mod,3,tomfoxgrass_nopauses.mp3,tomfoxgrassmodright.png,tomfoxgrassinstleft.png,tomfoxgrassmodright.png,tomfoxgrassinstleft.png,1,mod,inst,R,L,543,2640,0.187740024,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomfoxgrassmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomfoxgrassinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomfoxgrass_nopauses.mp3?raw=true
A,28,Training,3,What did Tom use?,located,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,grass.png,feather.png,feather.png,grass.png,2,incongruent,congruent,NA,NA,1,1544,0.187740024,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/feather.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/grass.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
A,29,Training,2,Kate located the cow with the grass,located,cow,grass,Sentence,1,Mod,2,katecowgrass_nopauses.mp3,katecowgrassmodleft.png,katecowgrassinstright.png,katecowgrassinstright.png,katecowgrassmodleft.png,2,inst,mod,L,R,366,2626,0.192360443,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katecowgrassinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katecowgrassmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/katecowgrass_nopauses.mp3?raw=true
A,30,Training,2,What did Kate use?,located,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,grass.png,feather.png,grass.png,feather.png,1,congruent,incongruent,NA,NA,1,1405,0.192360443,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/grass.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/feather.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
A,31,Training,8,Kate located the girl with the feather,located,girl,feather,Sentence,1,Mod,8,kategirlfeather_nopauses.mp3,kategirlfeathermodleft.png,kategirlfeatherinstright.png,kategirlfeatherinstright.png,kategirlfeathermodleft.png,2,inst,mod,L,R,344,2500,0.192559068,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategirlfeatherinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategirlfeathermodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/kategirlfeather_nopauses.mp3?raw=true
A,32,Training,8,What did Kate use?,located,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,feather.png,grass.png,grass.png,feather.png,2,incongruent,congruent,NA,NA,1,1405,0.192559068,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/grass.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/feather.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
A,33,Training,72,Kate inspected the hawk with the chopsticks,inspected,hawk,chopsticks,Sentence,1,Mod,12,katehawkchopsticks_nopauses.mp3,katehawkchopsticksmodright.png,katehawkchopsticksinstleft.png,katehawkchopsticksmodright.png,katehawkchopsticksinstleft.png,1,mod,inst,R,L,412,3037,0.194071409,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katehawkchopsticksmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/katehawkchopsticksinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/katehawkchopsticks_nopauses.mp3?raw=true
A,34,Training,72,What did Kate use?,inspected,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,chopsticks.png,stick.png,stick.png,chopsticks.png,2,incongruent,congruent,NA,NA,1,1405,0.194071409,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/stick.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/chopsticks.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
A,35,Training,66,Kate inspected the turtle with the stick,inspected,turtle,stick,Sentence,1,Mod,6,kateturtlestick_nopauses.mp3,kateturtlestickmodright.png,kateturtlestickinstleft.png,kateturtlestickmodright.png,kateturtlestickinstleft.png,1,mod,inst,R,L,460,2893,0.200019887,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kateturtlestickmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kateturtlestickinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/kateturtlestick_nopauses.mp3?raw=true
A,36,Training,66,What did Kate use?,inspected,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,stick.png,chopsticks.png,stick.png,chopsticks.png,1,congruent,incongruent,NA,NA,1,1405,0.200019887,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/stick.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/chopsticks.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
A,37,Training,20,Kate felt the girl with the pillow,felt,girl,pillow,Sentence,1,Mod,8,kategirlpillow_nopauses.mp3,kategirlpillowmodright.png,kategirlpillowinstleft.png,kategirlpillowmodright.png,kategirlpillowinstleft.png,1,mod,inst,R,L,366,2006,0.222301652,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategirlpillowmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategirlpillowinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/kategirlpillow_nopauses.mp3?raw=true
A,38,Training,20,What did Kate use?,felt,NA,NA,Question_Incongruent,1,Mod,,whatdidkateuse.mp3,pillow.png,leaf.png,leaf.png,pillow.png,2,incongruent,congruent,NA,NA,1,1405,0.222301652,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/leaf.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/pillow.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidkateuse.mp3?raw=true
A,39,Training,45,Tom chose the whale with the sticky note,chose,whale,sticky note,Sentence,1,Mod,9,tomwhalestickynote_nopauses.mp3,tomwhalestickynotemodleft.png,tomwhalestickynoteinstright.png,tomwhalestickynoteinstright.png,tomwhalestickynotemodleft.png,2,inst,mod,L,R,571,2520,0.225165043,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomwhalestickynoteinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tomwhalestickynotemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/tomwhalestickynote_nopauses.mp3?raw=true
A,40,Training,45,What did Tom use?,chose,NA,NA,Question_Incongruent,1,Mod,,whatdidtomuse.mp3,stickynote.png,tape.png,stickynote.png,tape.png,1,congruent,incongruent,NA,NA,1,1544,0.225165043,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/stickynote.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/tape.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whatdidtomuse.mp3?raw=true
A,41,Training,44,Kate chose the girl with the sticky note,chose,girl,sticky note,Sentence,1,Mod,8,kategirlstickynote_nopauses.mp3,kategirlstickynotemodright.png,kategirlstickynoteinstleft.png,kategirlstickynotemodright.png,kategirlstickynoteinstleft.png,1,mod,inst,R,L,377,2475,0.25970403,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategirlstickynotemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/kategirlstickynoteinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/kategirlstickynote_nopauses.mp3?raw=true
A,42,Training,44,Which toy did Kate choose?,chose,NA,NA,Question_Congruent,1,Mod,,whichtoykatechoose.mp3,girlstickynote.png,girltape.png,girltape.png,girlstickynote.png,2,incongruent,congruent,NA,NA,1,2067,0.25970403,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/girltape.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/modbias_list1_training/girlstickynote.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/modbias_list1_training/whichtoykatechoose.mp3?raw=true
