Group,Block,Trial,Sentence,Verb,Noun1,Noun2,ContextNounObj,Type,List,Bias,TrialGroup,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile,Rand
B,Training,43,Kate hammered the pig with the tape,hammered,pig,tape,pigtennisracket,Sentence,2,Inst,7,katepigtape_nopauses.mp3,katepigtapeinstleft2_context.png,katepigtapemodright2_context.png,katepigtapemodright2_context.png,katepigtapeinstleft2_context.png,2,mod,inst,R,L,468,2729,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigtapemodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigtapeinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katepigtape_nopauses.mp3?raw=true,0.024164442
B,Training,43,Which toy did Kate hammer?,hammered,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoykatehammer.mp3,pigtape.png,pigstickynote.png,pigtape.png,pigstickynote.png,1,congruent,incongruent,NA,NA,1,2067,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/pigtape.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/pigstickynote.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoykatehammer.mp3?raw=true,0.024164442
B,Training,56,Tom tapped the girl with the jewel,tapped,girl,jewel,girlmallet,Sentence,2,Inst,8,tomgirljewel_nopauses.mp3,tomgirljewelinstleft2_context.png,tomgirljewelmodright2_context.png,tomgirljewelmodright2_context.png,tomgirljewelinstleft2_context.png,2,mod,inst,R,L,619,2934,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirljewelmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirljewelinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomgirljewel_nopauses.mp3?raw=true,0.031374824
B,Training,56,What did Tom use?,tapped,NA,NA,NA,Question_Congruent,2,Inst,,whatdidtomuse.mp3,jewel.png,crystal.png,jewel.png,crystal.png,1,congruent,incongruent,NA,NA,1,1544,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/jewel.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/crystal.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whatdidtomuse.mp3?raw=true,0.031374824
B,Training,99,Kate crushed the fox with the pliers,crushed,fox,pliers,foxladle,Sentence,2,Inst,3,katefoxpliers_nopauses.mp3,katefoxpliersinstright2_context.png,katefoxpliersmodleft2_context.png,katefoxpliersinstright2_context.png,katefoxpliersmodleft2_context.png,1,inst,mod,L,R,411,3175,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katefoxpliersinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katefoxpliersmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katefoxpliers_nopauses.mp3?raw=true,0.03216857
B,Training,99,Which toy did Kate crush?,crushed,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoykatecrush.mp3,foxpliers.png,foxtweezers.png,foxpliers.png,foxtweezers.png,1,congruent,incongruent,NA,NA,1,2229,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/foxpliers.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/foxtweezers.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoykatecrush.mp3?raw=true,0.03216857
B,Training,98,Tom crushed the cow with the pliers,crushed,cow,pliers,cowladle,Sentence,2,Inst,2,tomcowpliers_nopauses.mp3,tomcowpliersinstleft2_context.png,tomcowpliersmodright2_context.png,tomcowpliersmodright2_context.png,tomcowpliersinstleft2_context.png,2,mod,inst,R,L,682,3348,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomcowpliersmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomcowpliersinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomcowpliers_nopauses.mp3?raw=true,0.032172616
B,Training,98,Which toy did Tom crush?,crushed,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoytomcrush.mp3,cowpliers.png,cowtweezers.png,cowtweezers.png,cowpliers.png,2,incongruent,congruent,NA,NA,1,2206,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/cowtweezers.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/cowpliers.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoytomcrush.mp3?raw=true,0.032172616
B,Training,96,Tom rubbed the hawk with the megaphone,rubbed,hawk,megaphone,hawktennisracket,Sentence,2,Inst,12,tomhawkmegaphone_nopauses.mp3,tomhawkmegaphoneinstright2_context.png,tomhawkmegaphonemodleft2_context.png,tomhawkmegaphoneinstright2_context.png,tomhawkmegaphonemodleft2_context.png,1,inst,mod,L,R,619,3285,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawkmegaphoneinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawkmegaphonemodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomhawkmegaphone_nopauses.mp3?raw=true,0.047489404
B,Training,96,Which toy did Tom rub?,rubbed,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoytomrub.mp3,hawkmegaphone.png,hawkwalkietalkie.png,hawkmegaphone.png,hawkwalkietalkie.png,1,congruent,incongruent,NA,NA,1,2090,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/hawkmegaphone.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/hawkwalkietalkie.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoytomrub.mp3?raw=true,0.047489404
B,Training,90,Tom rubbed the turtle with the walkie-talkie,rubbed,turtle,walkie-talkie,turtleoar,Sentence,2,Inst,6,tomturtlewalkietalkie_nopauses.mp3,tomturtlewalkietalkieinstright2_context.png,tomturtlewalkietalkiemodleft2_context.png,tomturtlewalkietalkieinstright2_context.png,tomturtlewalkietalkiemodleft2_context.png,1,inst,mod,L,R,619,3388,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomturtlewalkietalkieinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomturtlewalkietalkiemodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomturtlewalkietalkie_nopauses.mp3?raw=true,0.057773761
B,Training,90,Which toy did Tom rub?,rubbed,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoytomrub.mp3,turtlewalkietalkie.png,turtlemegaphone.png,turtlemegaphone.png,turtlewalkietalkie.png,2,incongruent,congruent,NA,NA,1,2090,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/turtlemegaphone.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/turtlewalkietalkie.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoytomrub.mp3?raw=true,0.057773761
B,Training,39,Kate hammered the fox with the sticky note,hammered,fox,sticky note,foxoar,Sentence,2,Inst,3,katefoxstickynote_nopauses.mp3,katefoxstickynoteinstleft2_context.png,katefoxstickynotemodright2_context.png,katefoxstickynotemodright2_context.png,katefoxstickynoteinstleft2_context.png,2,mod,inst,R,L,464,3077,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katefoxstickynotemodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katefoxstickynoteinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katefoxstickynote_nopauses.mp3?raw=true,0.058568947
B,Training,39,Which toy did Kate hammer?,hammered,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoykatehammer.mp3,foxstickynote.png,foxtape.png,foxstickynote.png,foxtape.png,1,congruent,incongruent,NA,NA,1,2067,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/foxstickynote.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/foxtape.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoykatehammer.mp3?raw=true,0.058568947
B,Training,78,Tom jabbed the turtle with the tongs,jabbed,turtle,tongs,turtleladle,Sentence,2,Inst,6,tomturtletongs_nopauses.mp3,tomturtletongsinstleft2_context.png,tomturtletongsmodright2_context.png,tomturtletongsmodright2_context.png,tomturtletongsinstleft2_context.png,2,mod,inst,R,L,691,3321,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomturtletongsmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomturtletongsinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomturtletongs_nopauses.mp3?raw=true,0.073651502
B,Training,78,What did Tom use?,jabbed,NA,NA,NA,Question_Congruent,2,Inst,,whatdidtomuse.mp3,tongs.png,sack.png,sack.png,tongs.png,2,incongruent,congruent,NA,NA,1,1544,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/sack.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tongs.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whatdidtomuse.mp3?raw=true,0.073651502
B,Training,6,Tom covered the turtle with the feather,covered,turtle,feather,turtleladle,Sentence,2,Inst,6,tomturtlefeather_nopauses.mp3,tomturtlefeatherinstleft2_context.png,tomturtlefeathermodright2_context.png,tomturtlefeathermodright2_context.png,tomturtlefeatherinstleft2_context.png,2,mod,inst,R,L,671,3095,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomturtlefeathermodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomturtlefeatherinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomturtlefeather_nopauses.mp3?raw=true,0.082815468
B,Training,6,Which toy did Tom cover? ,covered,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoytomcover.mp3,turtlefeather.png,turtlegrass.png,turtlegrass.png,turtlefeather.png,2,incongruent,congruent,NA,NA,1,2241,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/turtlegrass.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/turtlefeather.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoytomcover.mp3?raw=true,0.082815468
B,Training,68,Tom scratched the girl with the stick,scratched,girl,stick,girltennisracket,Sentence,2,Inst,8,tomgirlstick_nopauses.mp3,tomgirlstickinstright2_context.png,tomgirlstickmodleft2_context.png,tomgirlstickinstright2_context.png,tomgirlstickmodleft2_context.png,1,inst,mod,L,R,579,3081,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirlstickinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirlstickmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomgirlstick_nopauses.mp3?raw=true,0.084352109
B,Training,68,Which toy did Tom scratch?,scratched,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoytomscratch.mp3,girlstick.png,girlchopsticks.png,girlstick.png,girlchopsticks.png,1,congruent,incongruent,NA,NA,1,2090,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/girlstick.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/girlchopsticks.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoytomscratch.mp3?raw=true,0.084352109
B,Training,144,Tom smashed the hawk with the rope,smashed,hawk,rope,hawktennisracket,Sentence,2,Inst,12,tomhawkrope_nopauses.mp3,tomhawkropeinstright2_context.png,tomhawkropemodleft2_context.png,tomhawkropeinstright2_context.png,tomhawkropemodleft2_context.png,1,inst,mod,L,R,546,2844,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawkropeinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomhawkropemodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomhawkrope_nopauses.mp3?raw=true,0.101042158
B,Training,144,What did Tom use?,smashed,NA,NA,NA,Question_Congruent,2,Inst,,whatdidtomuse.mp3,rope.png,fencepost.png,rope.png,fencepost.png,1,congruent,incongruent,NA,NA,1,1544,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/rope.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/fencepost.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whatdidtomuse.mp3?raw=true,0.101042158
B,Training,32,Tom knocked on the girl with the watering can,knocked on,girl,watering can,girlmallet,Sentence,2,Inst,8,tomgirlwateringcan_nopauses.mp3,tomgirlwateringcaninstleft2_context.png,tomgirlwateringcanmodright2_context.png,tomgirlwateringcanmodright2_context.png,tomgirlwateringcaninstleft2_context.png,2,mod,inst,R,L,632,3853,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirlwateringcanmodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomgirlwateringcaninstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomgirlwateringcan_nopauses.mp3?raw=true,0.103708128
B,Training,32,Which toy did Tom knock on?,knocked on,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoytomknockon.mp3,girlwateringcan.png,girlpan.png,girlwateringcan.png,girlpan.png,1,congruent,incongruent,NA,NA,1,2067,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/girlwateringcan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/girlpan.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoytomknockon.mp3?raw=true,0.103708128
B,Training,9,Kate covered the whale with the grass,covered,whale,grass,whalemallet,Sentence,2,Inst,9,katewhalegrass_nopauses.mp3,katewhalegrassinstright2_context.png,katewhalegrassmodleft2_context.png,katewhalegrassinstright2_context.png,katewhalegrassmodleft2_context.png,1,inst,mod,L,R,457,2994,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katewhalegrassinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katewhalegrassmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katewhalegrass_nopauses.mp3?raw=true,0.108295985
B,Training,9,Which toy did Kate cover? ,covered,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoykatecover.mp3,whalegrass.png,whalefeather.png,whalefeather.png,whalegrass.png,2,incongruent,congruent,NA,NA,1,2078,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/whalefeather.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/whalegrass.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoykatecover.mp3?raw=true,0.108295985
B,Training,91,Kate rubbed the pig with the megaphone,rubbed,pig,megaphone,pigtennisracket,Sentence,2,Inst,7,katepigmegaphone_nopauses.mp3,katepigmegaphoneinstleft2_context.png,katepigmegaphonemodright2_context.png,katepigmegaphonemodright2_context.png,katepigmegaphoneinstleft2_context.png,2,mod,inst,R,L,466,3117,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigmegaphonemodright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/katepigmegaphoneinstleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/katepigmegaphone_nopauses.mp3?raw=true,0.113646557
B,Training,91,Which toy did Kate rub?,rubbed,NA,NA,NA,Question_Incongruent,2,Inst,,whichtoykaterub.mp3,pigmegaphone.png,pigwalkietalkie.png,pigmegaphone.png,pigwalkietalkie.png,1,congruent,incongruent,NA,NA,1,2101,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/pigmegaphone.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/pigwalkietalkie.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/whichtoykaterub.mp3?raw=true,0.113646557
B,Training,134,Tom smashed the cow with the fencepost,smashed,cow,fencepost,cowoar,Sentence,2,Inst,2,tomcowfencepost_nopauses.mp3,tomcowfencepostinstright2_context.png,tomcowfencepostmodleft2_context.png,tomcowfencepostinstright2_context.png,tomcowfencepostmodleft2_context.png,1,inst,mod,L,R,580,3587,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomcowfencepostinstright2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/instbias_list2_training/tomcowfencepostmodleft2_context.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/instbias_list2_training/tomcowfencepost_nopauses.mp3?raw=true,0.1146553
